@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@62e9b061 data'

@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute imageSizeBytes numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
17702912,5342075,36864,110592,260864226,1040,42,312,312,0,2240255,postgresql
17629184,7018258,36864,110592,260864226,1040,42,312,312,0,2240265,postgresql
17616896,5146784,36864,110592,260864226,1040,42,312,312,0,2240275,postgresql
17616896,5146784,36864,110592,260864226,1040,42,312,312,0,2240285,postgresql
17629184,5833971,36864,110592,260864226,1040,42,312,312,0,2240295,postgresql
17629184,5833971,36864,110592,260864226,1040,42,312,312,0,2240305,postgresql
17645568,6097339,36864,110592,260864226,1040,42,312,312,0,2240315,postgresql
17645568,5156598,36864,110592,260864226,1040,42,312,312,0,2240325,postgresql
17674240,7910328,36864,110592,260864226,1040,42,312,312,0,2240335,postgresql
17686528,5412749,36864,110592,260864226,1040,42,312,312,0,2240345,postgresql
17686528,5412749,36864,110592,260864226,1040,42,312,312,0,2240355,postgresql
17711104,4799824,36864,110592,260864226,1040,42,312,312,0,2240365,postgresql
17616896,8216945,36864,110592,260864226,1040,42,312,312,0,2240375,postgresql
17616896,8216945,36864,110592,260864226,1040,42,312,312,0,2240385,postgresql
17653760,5530417,36864,110592,260864226,1040,42,312,312,0,2240395,postgresql
17653760,5530417,36864,110592,260864226,1040,42,312,312,0,2240405,postgresql
17670144,5314747,36864,110592,260864226,1040,42,312,312,0,2240415,postgresql
17719296,7423842,36864,110592,260864226,1040,42,312,312,0,2240425,postgresql
17719296,7423842,36864,110592,260864226,1040,42,312,312,0,2240435,postgresql
17682432,3101591,36864,110592,260864226,1040,42,312,312,0,2240445,postgresql
17711104,8765652,36864,110592,260864226,1040,42,312,312,0,2240455,postgresql
17723392,6467383,36864,110592,260864226,1040,42,312,312,0,2240465,postgresql
17723392,6467383,36864,110592,260864226,1040,42,312,312,0,2240475,postgresql
17723392,3857134,36864,110592,260864226,1040,42,312,312,0,2240485,postgresql
17674240,9012311,36864,110592,260864226,1040,42,312,312,0,2240495,postgresql
17674240,9012311,36864,110592,260864226,1040,42,312,312,0,2240505,postgresql
17739776,6429715,36864,110592,260864226,1040,42,312,312,0,2240515,postgresql
17739776,6429715,36864,110592,260864226,1040,42,312,312,0,2240525,postgresql
17661952,5262320,36864,110592,260864226,1040,42,312,312,0,2240535,postgresql
17674240,8357961,36864,110592,260864226,1040,42,312,312,0,2240545,postgresql
17674240,8357961,36864,110592,260864226,1040,42,312,312,0,2240555,postgresql
17698816,4094084,36864,110592,260864226,1040,42,312,312,0,2240565,postgresql
17698816,4094084,36864,110592,260864226,1040,42,312,312,0,2240575,postgresql
17661952,7221092,36864,110592,260864226,1040,42,312,312,0,2240585,postgresql
17674240,4300577,36864,110592,260864226,1040,42,312,312,0,2240595,postgresql
17731584,8593787,36864,110592,260864226,1040,42,312,312,0,2240605,postgresql
17731584,8593787,36864,110592,260864226,1040,42,312,312,0,2240615,postgresql
17731584,3701038,36864,110592,260864226,1040,42,312,312,0,2240625,postgresql
17731584,3701038,36864,110592,260864226,1040,42,312,312,0,2240635,postgresql
17731584,7384297,36864,110592,260864226,1040,42,312,312,0,2240645,postgresql
17731584,4040335,36864,110592,260864226,1040,42,312,312,0,2240655,postgresql
17731584,4040335,36864,110592,260864226,1040,42,312,312,0,2240665,postgresql
17690624,6101188,36864,110592,260864226,1040,42,312,312,0,2240675,postgresql
17690624,6101188,36864,110592,260864226,1040,42,312,312,0,2240685,postgresql
17666048,6475689,36864,110592,260864226,1040,42,312,312,0,2240695,postgresql
17666048,5297634,36864,110592,260864226,1040,42,312,312,0,2240705,postgresql
17666048,5297634,36864,110592,260864226,1040,42,312,312,0,2240715,postgresql
17690624,7359316,36864,110592,260864226,1040,42,312,312,0,2240725,postgresql
17678336,6091821,36864,110592,260864226,1040,42,312,312,0,2240735,postgresql
17678336,6091821,36864,110592,260864226,1040,42,312,312,0,2240745,postgresql
17707008,3343055,36864,110592,260864226,1040,42,312,312,0,2240755,postgresql
17707008,3343055,36864,110592,260864226,1040,42,312,312,0,2240765,postgresql
17711104,6409853,36864,110592,260864226,1040,42,312,312,0,2240775,postgresql
17723392,9306542,36864,110592,260864226,1040,42,312,312,0,2240785,postgresql
17723392,9306542,36864,110592,260864226,1040,42,312,312,0,2240795,postgresql
17702912,7961300,36864,110592,260864226,1040,42,312,312,0,2240805,postgresql
17649664,6353524,36864,110592,260864226,1040,42,312,312,0,2240815,postgresql
17649664,6353524,36864,110592,260864226,1040,42,312,312,0,2240825,postgresql
17690624,5873201,36864,110592,260864226,1040,42,312,312,0,2240835,postgresql
17690624,5873201,36864,110592,260864226,1040,42,312,312,0,2240845,postgresql
233467904,5379582,53248,40960,448102503,956,42,1023,1023,0,2240240,mysql
233467904,6297602,53248,40960,448102503,956,42,1023,1023,0,2240250,mysql
233467904,6297602,53248,40960,448102503,956,42,1023,1023,0,2240260,mysql
