@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@195de175 data'

@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute imageSizeBytes numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
528908288,770297431,32768,65536,627390603,20956749695,20758524950,205,2279379,0,3459235,mysql
528916480,795215373,32768,65536,627390603,20956773270,20758544147,205,2279379,0,3459245,mysql
528916480,795215373,32768,65536,627390603,20956805233,20758568986,205,2279419,0,3459255,mysql
529068032,593295148,32768,65536,627390603,20956865802,20758606368,205,2279422,0,3459265,mysql
528941056,763789888,32768,65536,627390603,20956894004,20758629306,205,2279490,0,3459275,mysql
528941056,763789888,32768,65536,627390603,20956894004,20758629306,205,2279490,0,3459285,mysql
529055744,744783003,32768,65536,627390603,20956929953,20758658628,205,2279490,0,3459295,mysql
529055744,744783003,32768,65536,627390603,20956965761,20758687754,205,2279532,0,3459305,mysql
528957440,726781782,32768,65536,627390603,20956997842,20758708901,205,2279642,0,3459315,mysql
529018880,735270844,32768,65536,627390603,20957034367,20758731285,205,2279741,0,3459325,mysql
529018880,735270844,32768,65536,627390603,20957034367,20758731285,205,2279769,0,3459335,mysql
529010688,731098778,32768,65536,627390603,20957083273,20758765874,205,2279769,0,3459345,mysql
529018880,755691717,32768,65536,627390603,20957129006,20758800559,205,2279769,0,3459355,mysql
529018880,755691717,32768,65536,627390603,20957129006,20758800559,205,2279769,0,3459365,mysql
529022976,773527829,32768,65536,627390603,20957176637,20758831341,205,2279828,0,3459375,mysql
529014784,790250696,32768,65536,627390603,20957210387,20758854114,205,2279857,0,3459385,mysql
529014784,790250696,32768,65536,627390603,20957248600,20758879725,205,2279877,0,3459395,mysql
529043456,699634537,32768,65536,627390603,20957248600,20758879725,205,2279921,0,3459405,mysql
529047552,771050297,32768,65536,627390603,20957304232,20758927724,205,2279971,0,3459415,mysql
529047552,709631569,32768,65536,627390603,20957304232,20758927724,205,2279995,0,3459425,mysql
529047552,709631569,32768,65536,627390603,20957364875,20758970188,205,2280028,0,3459435,mysql
530165760,736569770,32768,65536,627390603,20957411506,20759001114,205,2280073,0,3459445,mysql
529063936,607649186,32768,65536,627390603,20957411506,20759001114,205,2280139,0,3459455,mysql
529068032,789595910,32768,65536,627390603,20957453165,20759032386,205,2280144,0,3459465,mysql
529080320,747515025,32768,65536,627390603,20957487744,20759057570,205,2280204,0,3459475,mysql
529080320,747515025,32768,65536,627390603,20957487744,20759057570,205,2280231,0,3459485,mysql
3653632,79734,28672,86016,89301127,50031566,26224164,19,1,0,613098,nginx
3653632,79734,28672,86016,89301127,50032382,26224584,19,1,0,613108,nginx
3653632,86087,28672,86016,89301127,50033742,26225350,19,1,0,613118,nginx
3653632,87159,28672,86016,89301127,50033742,26225350,19,1,0,613128,nginx
3653632,59239,28672,86016,89301127,50035102,26226050,19,1,0,613138,nginx
3653632,59239,28672,86016,89301127,50035102,26226050,19,1,0,613148,nginx
