@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@391bc702 data'

@attribute podName numeric
@attribute namespace numeric
@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute imageSizeBytes numeric
@attribute imageName numeric
@attribute containerName numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
-1458315933,-386679014,521216000,28603555,32768,65536,627390603,307071925,104382626,19239988147,19040062425,180,2083680,0,3126015,mysql
-1458315933,-386679014,521142272,26929745,32768,65536,627390603,307071925,104382626,19239988147,19040062425,180,2083680,0,3126025,mysql
-1458315933,-386679014,521142272,26929745,32768,65536,627390603,307071925,104382626,19240084133,19040163024,180,2083680,0,3126035,mysql
-1458315933,-386679014,521150464,644440295,32768,65536,627390603,307071925,104382626,19240084133,19040163024,180,2083703,0,3126045,mysql
-1458315933,-386679014,521150464,644440295,32768,65536,627390603,307071925,104382626,19240124444,19040195572,180,2083755,0,3126055,mysql
-1458315933,-386679014,521150464,755982356,32768,65536,627390603,307071925,104382626,19240124444,19040195572,180,2083801,0,3126065,mysql
-1458315933,-386679014,521146368,680641192,32768,65536,627390603,307071925,104382626,19240188753,19040240643,180,2083823,0,3126075,mysql
-1458315933,-386679014,521211904,738696549,32768,65536,627390603,307071925,104382626,19240242252,19040279260,180,2083887,0,3126085,mysql
-1458315933,-386679014,521211904,738696549,32768,65536,627390603,307071925,104382626,19240242252,19040279260,180,2083965,0,3126095,mysql
-1458315933,-386679014,521269248,787344770,32768,65536,627390603,307071925,104382626,19240289397,19040314514,180,2084052,0,3126105,mysql
-1458315933,-386679014,521269248,787344770,32768,65536,627390603,307071925,104382626,19240312352,19040329658,180,2084092,0,3126115,mysql
-1458315933,-386679014,521277440,832516219,32768,65536,627390603,307071925,104382626,19240312352,19040329658,180,2084092,0,3126125,mysql
-1458315933,-386679014,521277440,832516219,32768,65536,627390603,307071925,104382626,19240350706,19040358263,180,2084154,0,3126135,mysql
-1458315933,-386679014,521289728,757760175,32768,65536,627390603,307071925,104382626,19240375308,19040377577,180,2084159,0,3126145,mysql
-1458315933,-386679014,521285632,674835674,32768,65536,627390603,307071925,104382626,19240446705,19040423741,180,2084182,0,3126155,mysql
-1458315933,-386679014,521277440,683288020,32768,65536,627390603,307071925,104382626,19240446705,19040423741,180,2084182,0,3126165,mysql
-1458315933,-386679014,521277440,683288020,32768,65536,627390603,307071925,104382626,19240485682,19040450399,180,2084182,0,3126175,mysql
-1458315933,-386679014,521289728,814144911,32768,65536,627390603,307071925,104382626,19240511039,19040467257,180,2084220,0,3126185,mysql
-1458315933,-386679014,521289728,814144911,32768,65536,627390603,307071925,104382626,19240511039,19040467257,180,2084239,0,3126195,mysql
-1458315933,-386679014,521293824,748842313,32768,65536,627390603,307071925,104382626,19240557743,19040500125,180,2084242,0,3126204,mysql
-1458315933,-386679014,521293824,813554615,32768,65536,627390603,307071925,104382626,19240557743,19040500125,180,2084242,0,3126215,mysql
-1458315933,-386679014,521293824,813554615,32768,65536,627390603,307071925,104382626,19240595188,19040524484,180,2084247,0,3126225,mysql
-1458315933,-386679014,521318400,696704367,32768,65536,627390603,307071925,104382626,19240650008,19040564956,180,2084387,0,3126235,mysql
-1458315933,-386679014,521318400,760473717,32768,65536,627390603,307071925,104382626,19240650008,19040564956,180,2084413,0,3126245,mysql
