@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@2c5c83c9 data'

@attribute podName numeric
@attribute namespace numeric
@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute imageSizeBytes numeric
@attribute imageName numeric
@attribute containerName numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
-1458315933,-386679014,529141760,31296970,32768,65536,627390603,307071925,104382626,20962544027,20764027502,205,2281014,0,3460544,mysql
-1458315933,-386679014,529145856,31828816,32768,65536,627390603,307071925,104382626,20962544027,20764027502,205,2281014,0,3460555,mysql
612391802,-1594835516,3653632,124713,28672,86016,89301127,-242815342,104760218,50117790,26271316,19,1,0,614158,nginx
612391802,-1594835516,3653632,73460,28672,86016,89301127,-242815342,104760218,50118606,26271736,19,1,0,614168,nginx
612391802,-1594835516,3653632,76634,28672,86016,89301127,-242815342,104760218,50119694,26272296,19,1,0,614178,nginx
612391802,-1594835516,3653632,66771,28672,86016,89301127,-242815342,104760218,50119694,26272296,19,1,0,614188,nginx
612391802,-1594835516,3653632,66771,28672,86016,89301127,-242815342,104760218,50120510,26272782,19,1,0,614198,nginx
612391802,-1594835516,3653632,66348,28672,86016,89301127,-242815342,104760218,50121598,26273408,19,1,0,614208,nginx
612391802,-1594835516,3653632,66348,28672,86016,89301127,-242815342,104760218,50122414,26273828,19,1,0,614218,nginx
612391802,-1594835516,3653632,103842,28672,86016,89301127,-242815342,104760218,50123502,26274388,19,1,0,614228,nginx
612391802,-1594835516,3653632,76118,28672,86016,89301127,-242815342,104760218,50124590,26274948,19,1,0,614238,nginx
612391802,-1594835516,3653632,69060,28672,86016,89301127,-242815342,104760218,50124590,26274948,19,1,0,614248,nginx
612391802,-1594835516,3653632,69060,28672,86016,89301127,-242815342,104760218,50125406,26275368,19,1,0,614258,nginx
612391802,-1594835516,3653632,98887,28672,86016,89301127,-242815342,104760218,50126766,26276134,19,1,0,614268,nginx
612391802,-1594835516,3653632,69194,28672,86016,89301127,-242815342,104760218,50127582,26276620,19,1,0,614278,nginx
612391802,-1594835516,3653632,64886,28672,86016,89301127,-242815342,104760218,50128670,26277180,19,1,0,614288,nginx
612391802,-1594835516,3653632,73608,28672,86016,89301127,-242815342,104760218,50128670,26277180,19,1,0,614298,nginx
612391802,-1594835516,3653632,73608,28672,86016,89301127,-242815342,104760218,50130030,26277880,19,1,0,614308,nginx
612391802,-1594835516,3653632,100471,28672,86016,89301127,-242815342,104760218,50130030,26277880,19,1,0,614318,nginx
612391802,-1594835516,3653632,94711,28672,86016,89301127,-242815342,104760218,50131662,26278720,19,1,0,614328,nginx
612391802,-1594835516,3653632,94711,28672,86016,89301127,-242815342,104760218,50132478,26279140,19,1,0,614338,nginx
612391802,-1594835516,3653632,103518,28672,86016,89301127,-242815342,104760218,50132478,26279140,19,1,0,614348,nginx
612391802,-1594835516,3653632,90721,28672,86016,89301127,-242815342,104760218,50134110,26280178,19,1,0,614358,nginx
612391802,-1594835516,3653632,77436,28672,86016,89301127,-242815342,104760218,50134926,26280598,19,1,0,614368,nginx
612391802,-1594835516,3653632,77436,28672,86016,89301127,-242815342,104760218,50134926,26280598,19,1,0,614378,nginx
612391802,-1594835516,3653632,85496,28672,86016,89301127,-242815342,104760218,50136558,26281504,19,1,0,614388,nginx
612391802,-1594835516,3653632,57716,28672,86016,89301127,-242815342,104760218,50137374,26281924,19,1,0,614398,nginx
612391802,-1594835516,3653632,57716,28672,86016,89301127,-242815342,104760218,50137374,26281924,19,1,0,614408,nginx
612391802,-1594835516,3653632,108400,28672,86016,89301127,-242815342,104760218,50138462,26282550,19,1,0,614418,nginx
612391802,-1594835516,3653632,67410,28672,86016,89301127,-242815342,104760218,50138462,26282550,19,1,0,614428,nginx
612391802,-1594835516,3653632,85274,28672,86016,89301127,-242815342,104760218,50140094,26283390,19,1,0,614438,nginx
612391802,-1594835516,3653632,85274,28672,86016,89301127,-242815342,104760218,50141182,26283950,19,1,0,614448,nginx
612391802,-1594835516,3653632,53058,28672,86016,89301127,-242815342,104760218,50142542,26284716,19,1,0,614458,nginx
