@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@7561a8c data'

@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
539779072,711753617,32768,65536,20444606041,20246102790,180,2210341,0,3361825,mysql
539779072,29241647,32768,65536,20444606041,20246102790,180,2210341,0,3361835,mysql
539779072,29204990,32768,65536,20444707161,20246210862,180,2210341,0,3361845,mysql
539766784,30825851,32768,65536,20444828047,20246340414,180,2210341,0,3361855,mysql
539766784,30825851,32768,65536,20444828047,20246340414,180,2210341,0,3361865,mysql
539774976,30080968,32768,65536,20444945113,20246465500,180,2210341,0,3361875,mysql
539774976,30080968,32768,65536,20444945113,20246465500,180,2210341,0,3361885,mysql
539770880,30469260,32768,65536,20445059993,20246589695,180,2210341,0,3361895,mysql
539770880,30469260,32768,65536,20445059993,20246589695,180,2210341,0,3361905,mysql
539774976,31225389,32768,65536,20445183592,20246719776,180,2210341,0,3361915,mysql
539779072,30747797,32768,65536,20445289785,20246834021,180,2210341,0,3361925,mysql
539779072,30747797,32768,65536,20445361217,20246910560,180,2210341,0,3361935,mysql
539774976,28260260,32768,65536,20445361217,20246910560,180,2210341,0,3361945,mysql
539783168,26398818,32768,65536,20445485057,20247043310,180,2210341,0,3361955,mysql
539783168,26398818,32768,65536,20445485057,20247043310,180,2210341,0,3361965,mysql
539783168,29180192,32768,65536,20445618394,20247184504,180,2210341,0,3361975,mysql
539774976,30547238,32768,65536,20445618394,20247184504,180,2210341,0,3361985,mysql
539774976,30547238,32768,65536,20445756446,20247330501,180,2210341,0,3361995,mysql
539774976,28929235,32768,65536,20445830919,20247408374,180,2210341,0,3362005,mysql
539774976,31455794,32768,65536,20445961845,20247549886,180,2210341,0,3362015,mysql
539774976,28275421,32768,65536,20445961845,20247549886,180,2210341,0,3362025,mysql
539774976,28275421,32768,65536,20446085510,20247681325,180,2210341,0,3362035,mysql
539766784,30702364,32768,65536,20446170115,20247770497,180,2210341,0,3362045,mysql
539766784,32006553,32768,65536,20446258204,20247864610,180,2210341,0,3362055,mysql
3948544,95901,28672,86016,42048032,21922986,19,1,0,515268,nginx
3948544,97839,28672,86016,42049392,21923686,19,1,0,515278,nginx
3948544,105623,28672,86016,42050208,21924106,19,1,0,515288,nginx
3948544,105623,28672,86016,42051296,21924666,19,1,0,515298,nginx
3948544,99625,28672,86016,42051296,21924666,19,1,0,515308,nginx
3948544,100409,28672,86016,42052384,21925226,19,1,0,515318,nginx
3948544,79484,28672,86016,42053744,21925992,19,1,0,515328,nginx
3948544,79484,28672,86016,42054560,21926412,19,1,0,515338,nginx
3948544,106188,28672,86016,42054560,21926412,19,1,0,515348,nginx
3948544,106188,28672,86016,42055648,21926972,19,1,0,515358,nginx
3948544,106071,28672,86016,42055648,21926972,19,1,0,515368,nginx
3948544,139425,28672,86016,42057008,21927738,19,1,0,515378,nginx
3948544,139425,28672,86016,42058368,21928438,19,1,0,515388,nginx
3948544,67272,28672,86016,42059184,21928858,19,1,0,515398,nginx
3948544,137535,28672,86016,42060000,21929278,19,1,0,515408,nginx
3948544,51598,28672,86016,42060816,21929698,19,1,0,515418,nginx
3948544,51598,28672,86016,42060816,21929698,19,1,0,515428,nginx
3948544,93185,28672,86016,42062448,21930538,19,1,0,515438,nginx
3948544,106792,28672,86016,42062448,21930538,19,1,0,515448,nginx
3948544,106792,28672,86016,42063808,21931238,19,1,0,515458,nginx
3948544,89407,28672,86016,42063808,21931238,19,1,0,515468,nginx
3948544,99277,28672,86016,42065440,21932078,19,1,0,515478,nginx
3948544,117074,28672,86016,42066528,21932638,19,1,0,515488,nginx
3948544,117074,28672,86016,42066528,21932638,19,1,0,515498,nginx
3948544,73149,28672,86016,42067888,21933338,19,1,0,515508,nginx
3948544,144629,28672,86016,42068976,21933898,19,1,0,515518,nginx
3948544,144629,28672,86016,42068976,21933898,19,1,0,515528,nginx
3948544,67415,28672,86016,42070336,21934598,19,1,0,515538,nginx
3948544,206233,28672,86016,42071696,21935364,19,1,0,515548,nginx
3948544,206233,28672,86016,42071696,21935364,19,1,0,515558,nginx
3948544,73344,28672,86016,42072512,21935784,19,1,0,515568,nginx
3948544,73344,28672,86016,42073872,21936484,19,1,0,515578,nginx
3948544,141418,28672,86016,42073872,21936484,19,1,0,515588,nginx
3948544,76114,28672,86016,42075504,21937324,19,1,0,515598,nginx
3948544,71092,28672,86016,42075504,21937324,19,1,0,515608,nginx
3948544,71092,28672,86016,42077136,21938164,19,1,0,515618,nginx
3948544,113366,28672,86016,42077952,21938584,19,1,0,515628,nginx
3948544,60262,28672,86016,42077952,21938584,19,1,0,515638,nginx
3948544,60262,28672,86016,42079584,21939424,19,1,0,515648,nginx
3948544,124506,28672,86016,42080400,21939844,19,1,0,515658,nginx
