@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@3eef7da3 data'

@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute imageSizeBytes numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
521121792,32212097,32768,65536,627390603,19229089611,19028457727,180,2083680,0,3124475,mysql
521121792,32212097,32768,65536,627390603,19229089611,19028457727,180,2083680,0,3124485,mysql
521785344,33932064,32768,65536,627390603,19229165146,19028539105,180,2083680,0,3124495,mysql
521785344,33932064,32768,65536,627390603,19229258340,19028638337,180,2083680,0,3124505,mysql
521146368,24188864,32768,65536,627390603,19229337247,19028721457,180,2083680,0,3124515,mysql
521150464,31693252,32768,65536,627390603,19229337247,19028721457,180,2083680,0,3124525,mysql
521150464,31693252,32768,65536,627390603,19229454286,19028844697,180,2083680,0,3124535,mysql
521146368,32469478,32768,65536,627390603,19229525214,19028920837,180,2083680,0,3124545,mysql
521146368,32469478,32768,65536,627390603,19229621575,19029024375,180,2083680,0,3124555,mysql
521146368,27729503,32768,65536,627390603,19229621575,19029024375,180,2083680,0,3124565,mysql
521146368,30757318,32768,65536,627390603,19229734613,19029146351,180,2083680,0,3124575,mysql
521150464,26675319,32768,65536,627390603,19229827764,19029246022,180,2083680,0,3124585,mysql
521150464,26675319,32768,65536,627390603,19229928889,19029352268,180,2083680,0,3124595,mysql
521150464,31435444,32768,65536,627390603,19229928889,19029352268,180,2083680,0,3124605,mysql
521150464,30207062,32768,65536,627390603,19230036367,19029468016,180,2083680,0,3124614,mysql
521150464,30207062,32768,65536,627390603,19230036367,19029468016,180,2083680,0,3124625,mysql
521150464,29681688,32768,65536,627390603,19230139786,19029578754,180,2083680,0,3124635,mysql
521138176,28204321,32768,65536,627390603,19230222371,19029667179,180,2083680,0,3124645,mysql
521138176,28204321,32768,65536,627390603,19230311465,19029762530,180,2083680,0,3124654,mysql
521138176,32331652,32768,65536,627390603,19230406440,19029862903,180,2083680,0,3124665,mysql
521146368,27879996,32768,65536,627390603,19230493103,19029954505,180,2083680,0,3124675,mysql
521154560,29530525,32768,65536,627390603,19230493103,19029954505,180,2083680,0,3124685,mysql
521154560,29530525,32768,65536,627390603,19230602827,19030069656,180,2083680,0,3124695,mysql
521154560,29975836,32768,65536,627390603,19230602827,19030069656,180,2083680,0,3124705,mysql
521154560,29975836,32768,65536,627390603,19230709075,19030181746,180,2083680,0,3124715,mysql
521142272,27147697,32768,65536,627390603,19230788517,19030265938,180,2083680,0,3124725,mysql
521162752,32706666,32768,65536,627390603,19230856860,19030338189,180,2083680,0,3124735,mysql
521162752,32706666,32768,65536,627390603,19230951658,19030439637,180,2083680,0,3124744,mysql
521162752,31390186,32768,65536,627390603,19230951658,19030439637,180,2083680,0,3124755,mysql
521162752,31390186,32768,65536,627390603,19231070516,19030568655,180,2083680,0,3124765,mysql
521170944,30679333,32768,65536,627390603,19231191525,19030698892,180,2083680,0,3124775,mysql
521170944,32278734,32768,65536,627390603,19231191525,19030698892,180,2083680,0,3124785,mysql
